1.0000	2.0000	3.0000	2.0000	-9.5000
2.0000	1.0000	-2.0000	3.0000	33.5000
1.0000	2.0000	4.0000	1.0000	-19.5000
2.0000	2.5000	-1.0000	4.0000	83.0000
1.0000	3.5000	-2.0000	2.0000	55.0000
2.0000	3.0000	2.0000	3.0000	18.5000
1.0000	5.0000	4.0000	1.0000	-36.0000
2.0000	9.0000	6.0000	1.0000	-98.5000
1.0000	2.0000	8.0000	2.0000	-54.5000
2.0000	5.0000	4.0000	3.0000	-14.5000
1.0000	9.0000	6.0000	4.0000	-59.5000
2.0000	2.0000	8.0000	-1.0000	-14.0000
1.0000	1.0000	1.0000	1.0000	1.0000
2.0000	1.0000	2.0000	1.0000	-2.5000
1.0000	2.0000	1.0000	2.0000	8.5000
2.0000	-2.0000	3.0000	3.0000	-9.0000
1.0000	-1.0000	2.0000	4.0000	-17.5000
2.0000	1.5000	2.0000	3.0000	8.7500
1.0000	2.0000	1.5000	1.0000	-2.0000
2.0000	-1.0000	-1.5000	-2.0000	4.0000
1.0000	1.2500	-2.0000	-2.0000	15.7500
-1.0000	-2.0000	-3.0000	-2.0000	1.5000
-1.0000	0.1000	1.0000	1.0000	-2.4500
-1.0000	-2.0000	-1.0000	-1.0000	-1.5000
1.1000	1.2000	1.1000	1.4000	1.9100
0.3000	1.2000	0.3000	1.4000	5.4140
0.4000	1.2000	0.4000	1.4000	4.9760
0.5000	1.2000	0.5000	1.4000	4.5380
0.6000	1.2000	0.6000	1.4000	4.1000
0.7000	1.2000	0.7000	1.4000	3.6620
0.8000	1.2000	0.8000	1.4000	3.2240
0.9000	1.2000	0.9000	1.4000	2.7860
1.0000	1.2000	1.5000	1.4000	-0.5920
1.0000	1.2500	1.0000	-2.0000	10.5000
-1.0000	-2.0000	0.5000	-2.0000	-16.0000
-1.0000	0.1000	0.0001	1.0000	0.7497
-1.0000	-2.0000	-0.5000	-1.0000	-3.0000
1.1000	1.2000	-1.0000	1.4000	14.2580
0.3000	1.2000	-1.5000	1.4000	15.9980
0.4000	1.2000	-2.0000	1.4000	19.0880
0.5000	1.2000	-2.5000	1.4000	22.1780
0.6000	1.2000	-2.0000	1.4000	19.3880
0.7000	1.2000	-1.5000	1.4000	16.5980
0.8000	1.2000	-1.0000	1.4000	13.8080
0.9000	1.2000	-0.5000	1.4000	11.0180
1.0000	1.2000	0.0001	1.4000	8.2274
