-5.00	0.283662185
-4.67	-0.042376287
-4.34	-0.36384171
-4.01	-0.64604304
-3.68	-0.858526434
-3.35	-0.978361679
-3.02	-0.992616717
-2.69	-0.899753211
-2.36	-0.709792556
-2.03	-0.443234416
-1.7	-0.128844494
-1.37	0.199449721
-1.04	0.506220257
-0.71	0.758361876
-0.38	0.928664636
-0.05	0.99875026
0.28	0.961055438
0.61	0.819648018
0.94	0.589788025
1.27	0.296280873
1.6	-0.029199522
1.93	-0.351528842
2.26	-0.635922817
2.59	-0.851690981
2.92	-0.975548648
3.25	-0.994129676
3.58	-0.905428889
3.91	-0.719018461
4.24	-0.45501493
4.57	-0.141908321
4.9	0.186512369
