-1.8532	2.1376	-3.8023
2.1283	2.6137	5.8649
2.4813	1.0618	7.6682
-0.6759	-1.5486	5.6006
-2.4779	-2.1782	16.8942
-2.6099	1.0687	2.8849
-2.3480	-1.7947	14.3165
2.8435	2.1751	10.9204
1.7930	-1.8333	4.5943
-1.7469	0.9615	0.4490
2.0577	0.5961	5.2683
-1.4067	-1.2342	7.1831
-0.7115	0.5207	0.0943
2.0243	-1.3283	5.0655
1.1747	-2.0326	4.0574
-0.6434	-2.7301	8.6305
1.9868	-2.5267	4.9807
0.5476	0.8338	0.0889
1.3610	-0.4848	3.1621
1.6772	-2.9370	4.7610
-2.3633	-2.1886	16.1348
0.8382	-1.4026	3.3322
1.2584	0.6574	2.0959
-1.1287	-2.6120	10.4460
2.2996	-1.0313	5.9791
-2.7658	2.3481	-2.5410
2.4257	2.5063	7.9508
-1.9227	0.2503	3.7151
0.3155	-0.2146	1.4610
-2.7709	-1.8469	17.4891
2.3691	2.1989	7.4244
-2.0065	0.0841	4.6892
1.1347	2.5488	0.0820
-0.8228	-1.5166	5.9580
2.5581	2.3169	8.8372
1.5295	-0.5004	3.5747
2.9243	-1.2363	8.4089
-2.8248	1.7584	0.4955
-0.3737	2.1845	-4.0457
1.6503	-2.2149	4.4980
1.7900	2.4151	3.6969
-2.4615	-2.6937	19.0764
-1.0038	1.8447	-3.5334
0.9790	2.3844	-0.4761
-1.2838	-1.7179	8.2895
-2.5997	1.2107	2.1895
-1.6650	-2.8826	14.3371
2.3469	-1.5892	5.9565
