5	3089
5.05	3247.551407
5.1	3412.53251
5.15	3584.136482
5.2	3762.56032
5.25	3948.004883
5.3	4140.67493
5.35	4340.779158
5.4	4548.53024
5.45	4764.144859
5.5	4987.84375
5.55	5219.851735
5.6	5460.39776
5.65	5709.714935
5.7	5968.04057
5.75	6235.616211
5.8	6512.68768
5.85	6799.505112
5.9	7096.32299
5.95	7403.400187
6	7721
6.05	8049.390188
6.1	8388.84301
6.15	8739.635263
6.2	9102.04832
6.25	9476.368164
6.3	9862.88543
6.35	10261.89544
6.4	10673.69824
6.45	11098.59864
6.5	11536.90625
6.55	11988.93552
6.6	12455.00576
6.65	12935.44122
6.7	13430.57107
6.75	13940.72949
6.8	14466.25568
6.85	15007.49389
6.9	15564.79349
6.95	16138.50897
7	16729
7.05	17336.63147
7.1	17961.77351
7.15	18604.80154
7.2	19266.09632
7.25	19946.04395
7.3	20645.03593
7.35	21363.46922
7.4	22101.74624
7.45	22860.27492
7.5	23639.46875
7.55	24439.7468
7.6	25261.53376
7.65	26105.26
7.7	26971.36157
7.75	27860.28027
7.8	28772.46368
7.85	29708.36517
7.9	30668.44399
7.95	31653.16525
8	32663
8.05	33698.42525
8.1	34759.92401
8.15	35847.98533
8.2	36963.10432
8.25	38105.78223
8.3	39276.52643
8.35	40475.8505
8.4	41704.27424
8.45	42962.3237
8.5	44250.53125
8.55	45569.43558
8.6	46919.58176
8.65	48301.52128
8.7	49715.81207
8.75	51163.01855
8.8	52643.71168
8.85	54158.46896
8.9	55707.87449
8.95	57292.51903
9	58913
9.05	60569.92153
9.1	62263.89451
9.15	63995.53661
9.2	65765.47232
9.25	67574.33301
9.3	69422.75693
9.35	71311.38928
9.4	73240.88224
9.45	75211.89498
9.5	77225.09375
9.55	79281.15186
9.6	81380.74976
9.65	83524.57506
9.7	85713.32257
9.75	87947.69434
9.8	90228.39968
9.85	92556.15524
9.9	94931.68499
9.95	97355.72031
10	99829
10.05	102352.2703
10.1	104926.285
10.15	107551.8054
10.2	110229.6003
10.25	112960.4463
10.3	115745.1274
10.35	118584.4356
10.4	121479.1702
10.45	124430.1388
10.5	127438.1563
10.55	130504.0456
10.6	133628.6378
10.65	136812.7713
10.7	140057.2931
10.75	143363.0576
10.8	146730.9277
10.85	150161.774
10.9	153656.4755
10.95	157215.9191
11	160841
11.05	164532.6216
11.1	168291.6955
11.15	172119.1417
11.2	176015.8883
11.25	179982.8721
11.3	184021.0379
11.35	188131.3393
11.4	192314.7382
11.45	196572.205
11.5	200904.7188
11.55	205313.2669
11.6	209798.8458
11.65	214362.4601
11.7	219005.1236
11.75	223727.8584
11.8	228531.6957
11.85	233417.6753
11.9	238386.846
11.95	243440.2654
12	248579
12.05	253804.1254
12.1	259116.726
12.15	264517.8955
12.2	270008.7363
12.25	275590.3604
12.3	281263.8884
12.35	287030.4506
12.4	292891.1862
12.45	298847.2438
12.5	304899.7813
12.55	311049.9657
12.6	317298.9738
12.65	323647.9914
12.7	330098.2141
12.75	336650.8467
12.8	343307.1037
12.85	350068.2091
12.9	356935.3965
12.95	363909.9092
13	370993
13.05	378185.9317
13.1	385489.9765
13.15	392906.4167
13.2	400436.5443
13.25	408081.6611
13.3	415843.0789
13.35	423722.1194
13.4	431720.1142
13.45	439838.4051
13.5	448078.3438
13.55	456441.292
13.6	464928.6218
13.65	473541.7152
13.7	482281.9646
13.75	491150.7725
13.8	500149.5517
13.85	509279.7254
13.9	518542.727
13.95	527940.0004
14	537473
