2.000000	3.000000	7.000000	11.000000	-1.000000	-2.000000	3.000000	2.000000	3.000000	7.000000	-1.000000
1.000000	-2.000000	-2.000000	12.000000	-3.000000	11.220000	4.000000	1.000000	-2.000000	-2.000000	-2.000000
2.000000	4.000000	6.000000	8.000000	-7.500000	6.000000	5.000000	2.000000	4.000000	6.000000	-3.000000
1.467016	1.038383	3.359274	4.702817	0.921697	3.832469	6.000000	1.467016	1.038383	3.359274	-4.000000
4.160069	3.297334	3.509832	3.973075	3.125543	0.694289	7.000000	4.160069	3.297334	3.509832	-5.000000
1.000000	2.000000	3.000000	3.000000	3.000000	6.000000	7.000000	1.000000	2.000000	3.000000	-6.000000
-2.000000	-2.000000	12.000000	-3.000000	11.220000	4.000000	1.000000	-2.000000	-2.000000	-2.000000	-7.000000
4.000000	6.000000	8.000000	-7.500000	6.000000	5.000000	2.000000	4.000000	6.000000	-3.000000	-8.000000
1.038383	3.359274	4.702817	0.921697	3.832469	6.000000	1.467016	1.038383	3.359274	-4.000000	-9.000000
3.297334	3.509832	3.973075	3.125543	0.694289	7.000000	4.160069	3.297334	3.509832	-5.000000	-10.000000
