AB( 0)=	-1.9999680763
AB( 1)=	-0.0023170567
AB( 2)=	0.0331491159
AB( 3)=	1.8241256042
AB( 4)=	3.4186722565
AB( 5)=	-0.4546718768
AB( 6)=	0.1832873517
*****
    0.294017 	    -1.926754
    0.064549 	    -1.999429
    0.837137 	     0.646596
    0.392184 	    -1.808421
    0.476618 	    -1.628659
    0.327245 	    -1.895527
    0.489945 	    -1.591922
    0.949162 	     2.146003
    0.564423 	    -1.335881
    0.316873 	    -1.906137
    0.142914 	    -1.992897
    0.259166 	    -1.951643
    0.793879 	     0.192195
    0.190209 	    -1.982287
    0.209133 	    -1.975946
    0.875283 	     1.102009
    0.012167 	    -1.999988
    0.369870 	    -1.842685
    0.785637 	     0.112631
